FdxReference,FddCreated,FddModified,FdsGroup,FdnValue,FdsLookupShort,FdsLookup,FdsCode,FdbEditable,FdbDeletable,FdbDefault
1,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",1,"WS1D1","Asymptomatic","A1:C1",0,0,0
2,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",2,"WS2D1","Weight loss <10%","A2:C0",0,0,0
3,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",3,"WS2D2","Minor mucocutaneous manifestations","A2:C0",0,0,0
4,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",4,"WS2D3","Herpes zoster","A2:C2",0,0,0
5,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",5,"WS2D4","URTI","A2:C2",0,0,0
6,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",6,"WS3D1","In bed < 50 of normal daytime due to sickness","A0:C0",0,0,0
7,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",7,"WS3D2","Weight loss >10%","A3:C0",0,0,0
8,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",8,"WS3D3","Diarrhoea unexplained","A3:C3",0,0,0
9,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",9,"WS3D4","Fever, unexplained","A3:C3",0,0,0
10,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",10,"WS3D5","Oral candidiasis","A3:C3",0,0,0
11,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",11,"WS3D6","Vulvovaginal candidiasis > 1 month...","A0:C0",0,0,0
12,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",12,"WS3D7","Pulmonary TB","A3:C3",0,0,0
13,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",13,"WS3D8","Bacterial pneumonia, severe","A4:C3",0,0,0
14,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",14,"WS3D9","Bacterial infections, severe","A3:C4",0,0,0
15,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",15,"WS3D10","Oral hairy leukoplakia","A3:C3",0,0,0
16,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",16,"WS4D1","In bed > 50 of normal daytime due to sickness","A0:C0",0,0,0
17,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",17,"WS4D2","Wasting syndrome by HIV/stunting/severe malnutrition","A4:C4",0,0,0
18,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",18,"WS4D3","Cryptococcosis extrapulmonary","A4:C4",0,0,0
19,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",19,"WS4D4","Pneumocystis pneumonia","A4:C4",0,0,0
20,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",20,"WS4D5","Toxoplasmosis of the brain","A4:C4",0,0,0
21,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",21,"WS4D6","Encephalopathy by HIV","A4:C4",0,0,0
22,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",22,"WS4D7","Penicillium marneffei infection","A4:C4",0,0,0
23,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",23,"WS4D8","Candidiasis oesophagus/trachea/bronchi /lungs","A4:C4",0,0,0
24,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",24,"WS4D9","Cryptosporidiosis","A4:C4",0,0,0
25,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",25,"WS4D10","Isosporiasis","A4:C4",0,0,0
26,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",26,"WS4D11","Extrapulmonary and disseminated TB","A4:C4",0,0,0
27,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",27,"WS4D12","Lymphoma cerebral or B non Hodgkin","A4:C4",0,0,0
28,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",28,"WS4D13","Herpes simplex infection","A4:C4",0,0,0
29,"04/29/02 11:03:24","09/08/08 16:45:07","KDIA",29,"WS4D14","Non-TB mycobacteria infection","A4:C4",0,0,0
30,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",30,"WS4D15","Septicaemia recurrent","A4:C0",0,0,0
31,"04/29/02 11:03:24","09/08/08 16:45:07","KDIA",31,"WS4D16","Mycosis disseminated","A4:C4",0,0,0
32,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",32,"WS4D17","Kaposi sarcoma","A4:C4",0,0,0
33,"04/29/02 11:03:24","04/29/02 11:03:24","KDIA",33,"WS4D18","Cytomegalovirus infection","A4:C4",0,0,0
34,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",90,"3TC","Lamivudine","3TC:A1:3TC",0,0,0
35,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",190,"ABC","Abacavir","ABC:A1:ABC",0,0,0
37,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",280,"APV","Amprenavir","APV:A1:APV",0,0,0
38,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",130,"AZT","Zidovudine","AZT:A1:AZT",0,0,0
39,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",100,"D4T","Stavudine (dosage unspecified)","D4T:A1:D4T",0,0,0
41,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",140,"DDI400","Didanosine 400","DDI400:A1:DDI400",0,0,0
43,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",170,"EFV600","Efavirenz 600","EFV600:A1:EFV600",0,0,0
44,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",240,"IDV","Indinavir","IDV:A1:IDV",0,0,0
45,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",230,"LPV/r","Kaletra (Lopinavir/Ritonavir)","LPV/r:A1:LPV/r",0,0,0
47,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",220,"NFV","Nelfinavir","NFV:A1:NFV",0,0,0
48,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",160,"NVP","Nevirapine","NVP:A1:NVP",0,0,0
49,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",260,"RTV","Ritonavir","RTV:A1:RTV",0,0,0
50,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",270,"SQV","Saquinavir","SQV:A1:SQV",0,0,0
51,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",490,"COTRI","Cotrimoxazole prophylaxis","COTRI:P1:COTRI",0,0,0
52,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",500,"FLUCO1","Fluconazole primary prophylaxis","FLUCO1:P1:FLUCO1",0,0,0
53,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",510,"FLUCO2","Fluconazole secondary prophylaxis","FLUCO2:P1:FLUCO2",0,0,0
54,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",520,"INH","Isoniazide prophylaxis","INH:P1:INH",0,0,0
55,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",400,"AZTMTC","Zidovudine (Mother to child)","AZTMTC:M1:AZTMTC",0,0,0
56,"04/29/02 11:03:24","04/29/02 11:03:24","KDRG",410,"NVPMTC","Nevirapine (Mother to child)","NVPMTC:M1:NVPMTC",0,0,0
61,"04/29/02 11:03:24","04/29/02 11:03:24","TDIA",0,"N","New","N",0,0,1
62,"04/29/02 11:03:24","04/29/02 11:03:24","TDIA",1,"O","On Going","O",0,0,0
63,"04/29/02 11:03:24","04/29/02 11:03:24","TDIA",2,"R","Recurrent","R",0,0,0
64,"04/29/02 11:03:24","04/29/02 11:03:24","TDRG",0,"B","Begun","B",0,0,1
65,"04/29/02 11:03:24","04/29/02 11:03:24","TDRG",1,"C","Continued","C",0,0,0
66,"04/29/02 11:03:24","04/29/02 11:03:24","TDRG",2,"CI","Continued with Intolerance","CI",0,0,0
67,"04/29/02 11:03:24","04/29/02 11:03:24","TDRG",3,"R","Restarted","R",0,0,0
68,"04/29/02 11:03:24","04/29/02 11:03:24","TDRG",4,"SI","Stopped for Intolerance","SI",0,0,0
69,"04/29/02 11:03:24","04/29/02 11:03:24","TDRG",5,"SF","Stopped for Failure","SF",0,0,0
70,"04/29/02 11:03:24","04/29/02 11:03:24","TDRG",6,"SC","Stopped for Non compliance","SC",0,0,0
71,"04/29/02 11:03:24","04/29/02 11:03:24","TDRG",7,"SR","Stopped for Patient Reason","SR",0,0,0
72,"04/29/02 11:03:24","04/29/02 11:03:24","TDRG",9,"SE","Stopped for end of treatment","SE",0,0,0
73,"04/29/02 11:03:24","04/29/02 11:03:24","TDRG",8,"SO","Stopped for Other Reason","SO",0,0,0
80,"04/29/02 11:03:24","04/29/02 11:03:24","INTV",1,"]15]","<= 15 days","]15]",0,0,0
81,"04/29/02 11:03:24","04/29/02 11:03:24","INTV",2,"[15-30[","> 15 days and <=30 days","[15-30[",0,0,0
82,"04/29/02 11:03:24","04/29/02 11:03:24","INTV",3,"[30-60[","> 30 days and <=60 days","[30-60[",0,0,0
83,"04/29/02 11:03:24","04/29/02 11:03:24","INTV",4,"[60[","> 60 days","[60[",0,0,0
84,"04/29/02 11:03:24","04/29/02 11:03:24","GENDER",0,"M","Male","M",0,0,0
85,"04/29/02 11:03:24","04/29/02 11:03:24","GENDER",1,"F","Female","F",0,0,0
86,"04/29/02 11:03:24","04/29/02 11:03:24","GENDER",99,"NS","Not specified","NS",0,0,1
